label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.0,0.0,0.0,-0.25181869620713143,-0.14260663425556186,-0.05947133375863692,-0.426422945685588,-0.45277118994911597,-0.06697470190202316,-0.5113556283675108,-0.7481756353922786,-0.08771304524109574,-0.5649818358127525,-0.9750190549359117,-0.082714262428901,-0.36491199301976956,-0.7274630971938381,0.08799652337337507,-0.42994494565927044,-0.9432323851921133,-0.017158752528432037,-0.3679088561673717,-0.6854102454316234,-0.06526997470898477,-0.3172446916946797,-0.5969216535939178,-0.07829979935296366,-0.22541751313095118,-0.770810166276458,0.07534217333141878,-0.29361970902885115,-0.9708692795968957,-0.0325759971062526,-0.2525938499878028,-0.6611539446500927,-0.04035420359900059,-0.20880768230234237,-0.6231054130188991,-0.010682871351520242,-0.07681128173671696,-0.7812865852238967,0.03323482331375564,-0.1316405059857298,-1.0,-0.07197495242508495,-0.12092054825580277,-0.710874117981685,-0.010013347678103118,-0.08104658919177718,-0.6452222974634919,0.06653795153702584,0.07930962929672357,-0.7722039854929433,-0.0195270447734527,0.034745676073175004,-0.9670312662903253,-0.05660253471052333,0.004565289346544756,-0.7698024056287218,0.0038856172251342472,0.023222829888261652,-0.6888776870496278,0.06686634551718441
A,0.0,0.0,0.0,-0.25211150708898716,-0.14703745101823024,-0.04409778399019318,-0.42603419455394026,-0.4619812188898236,-0.04663121227657637,-0.5141506182383727,-0.7409606796800144,-0.06650453024571354,-0.6004379348956014,-0.9540980154865251,-0.06501538716769013,-0.35727059426769847,-0.7178835727602598,0.0887374597942896,-0.43742944936382705,-0.927152338809758,-0.015114184599691419,-0.3829807027776631,-0.6858935070799014,-0.06472438276760188,-0.33249197636194455,-0.5881450636627213,-0.07813793511644551,-0.22755786115062002,-0.757986060428774,0.0659072307218674,-0.30699409996695537,-0.957148271932841,-0.0388539181550603,-0.2680829366367145,-0.6640017002271249,-0.0515642664507742,-0.2218652210522407,-0.6071697124131394,-0.02716214389754186,-0.08200998527905116,-0.7714215680368361,0.016187288663012434,-0.15342110466173914,-1.0,-0.08914519846183594,-0.1403798411686059,-0.7179128052898237,-0.03423166946938841,-0.09691847659807622,-0.6266551685383716,0.03732807843855994,0.07392906726701329,-0.7617614021185288,-0.042300014284061084,0.014547331316947184,-0.9671367112574669,-0.08596654973353987,-0.01374264668557432,-0.7810671176903615,-0.03082520020689945,0.007438691188545273,-0.6860491505481198,0.0292244799092327
A,0.0,0.0,0.0,-0.2368822103277265,-0.1859499256029265,-0.024764209224549714,-0.4195762290713036,-0.46721676555185987,-0.03113058270362264,-0.5077049545579447,-0.756354038265604,-0.062121053611212444,-0.5257931164000326,-0.9941167729087758,-0.07080690408221225,-0.38422509563466606,-0.7500813767116096,0.1096296576097191,-0.4887534554972615,-0.9899484827251861,-0.0017629239159386216,-0.43186164973912294,-0.7410864466955815,-0.05309706469458433,-0.37067202177479414,-0.6375306249962011,-0.06546618403507769,-0.2506622796252626,-0.7859068321015564,0.07385921533960542,-0.3422684578416234,-0.9990169818996815,-0.037004099478124365,-0.3018781514480863,-0.7021568339355454,-0.04855485363011825,-0.24888530148997456,-0.6497389133269378,-0.020607026136799732,-0.10007648258098215,-0.7879638341562529,0.011018543696680354,-0.17980553847908026,-1.0,-0.09872759181341277,-0.17015435480162422,-0.7060912119229825,-0.04260362812199326,-0.12420192658971738,-0.6241873594771433,0.03208212506899039,0.06384084245279993,-0.7644919190252988,-0.0589302075113944,-0.01857820370105267,-0.9390004780947306,-0.09737180235031881,-0.04846991870293591,-0.7505309660133543,-0.03826662732593723,-0.02020468993953286,-0.6679264249727679,0.024621675631123736
A,0.0,0.0,0.0,-0.25165489829385007,-0.1889826028831426,-0.004589231508610921,-0.4076202933112323,-0.4876632523779913,0.004133858677315463,-0.49655758780365244,-0.7257029093394018,-0.013133604627170673,-0.5758885245779374,-0.9155935445798206,-0.01618878733080905,-0.3315257367507917,-0.7432228529556266,0.12713238711966357,-0.43321091055881283,-0.906803157416825,0.043082332506038795,-0.39449903929430785,-0.7060005183429062,-0.008139194504719154,-0.32935389395785575,-0.6243764269579332,-0.02754854000269892,-0.20619699454341542,-0.7805586916130067,0.08668516545162491,-0.307482107380886,-0.9582074378477955,-0.003100277754065515,-0.2870355307281319,-0.7051542489668102,-0.027829333961743308,-0.21997981166252895,-0.6321343235298779,-0.014608417945646709,-0.05548972683515297,-0.8037552358693291,0.02437572391366608,-0.1600746143426228,-0.9960639500899175,-0.05649859911161992,-0.17229995553065355,-0.7569994937766221,-0.02087454187108737,-0.11907681357088852,-0.6627580410740139,0.033106769816146756,0.11068334096242108,-0.8042118157943559,-0.043999457820992696,0.007405731045290678,-1.0,-0.06591396500717382,-0.03661764006678792,-0.8415117620022953,-0.01590618709589996,-6.12968454732163e-05,-0.7426930897245977,0.03680400165177053
A,0.0,0.0,0.0,-0.2704796242668813,-0.17459149216438585,-0.00034219954399743863,-0.4384994459138762,-0.44706700260315935,0.0018584706383915578,-0.534587127429354,-0.685230468464136,-0.024482848083111883,-0.6197299091507846,-0.8870268052230458,-0.03581610230017774,-0.3558825912412575,-0.7011314334103478,0.12071294997732532,-0.47570031781543703,-0.8773624455061525,0.021304627218237785,-0.4268088821051091,-0.6539363637314042,-0.03365224856257933,-0.36154563892402747,-0.5776624883694186,-0.05187923789838166,-0.23748889214138605,-0.7389695043542805,0.07580564995798458,-0.3600088340146153,-0.9391281507114256,-0.03186889615531035,-0.31665433912161667,-0.6621595768036549,-0.05267480968520487,-0.23858046794141324,-0.6008005499043417,-0.031249379843746677,-0.09142617063761722,-0.7666244132437038,0.009172764930201865,-0.22100352315139096,-1.0,-0.08833297971123646,-0.1994510104230918,-0.7331377479012682,-0.03614999554581561,-0.1262950456336968,-0.6450576563202409,0.034883000184846254,0.07587621402360616,-0.7714747577180016,-0.06281820805613939,-0.03949575549120258,-0.9929612766980649,-0.09527076851556042,-0.06616245700605312,-0.8132831693726281,-0.033472378844692806,-0.017955526747723542,-0.7070178143916029,0.03191418811151871
A,0.0,0.0,0.0,-0.26957206623683294,-0.13090849871568055,-0.024758726802041223,-0.45459001709958474,-0.4056036301456056,-0.021177439466097302,-0.5543863025664182,-0.6655158374725185,-0.04210435169563147,-0.6374128550384556,-0.879548304476242,-0.04550855700908684,-0.3597258144509997,-0.6663181114952144,0.12120761024113708,-0.4506064800763929,-0.8774214418429059,0.01617863902913924,-0.4080433189479684,-0.6480088236818144,-0.03848142807377657,-0.3444492971404461,-0.533712238417067,-0.05199377345577833,-0.23160180915086867,-0.7183088436683421,0.08776165529225077,-0.3267215432560274,-0.9515344471504393,-0.018248268111232806,-0.292700327927101,-0.6667855001443471,-0.0369471960560996,-0.21933881605732433,-0.5892836680459839,-0.01105446217671459,-0.07751619278856474,-0.7515103152689668,0.027624555577984093,-0.17396421671317852,-1.0,-0.07777249391087897,-0.16492127528850922,-0.7212924621181278,-0.030049461380954694,-0.0984004855985965,-0.6241896203299998,0.041761991176950716,0.09901370187503239,-0.7628067006684384,-0.039528661975368834,0.00849160935961685,-0.993341821438882,-0.08135177565429637,-0.024367870546520492,-0.8060138721306379,-0.026469781757589704,0.017493393342265583,-0.696437068346522,0.035836298033069924
A,0.0,0.0,0.0,-0.2734052044274756,-0.050781946587408144,-0.05216442768011646,-0.5097833082801998,-0.3532929038555858,-0.05390463758192037,-0.6407233585560492,-0.6318303572966357,-0.06661272697510459,-0.7409728564997314,-0.8413923341915787,-0.058971454991344215,-0.4666287226293522,-0.6389273761194749,0.05055576747067796,-0.5680478084271269,-0.8428653153607903,-0.05091868512299042,-0.478473780590724,-0.6056901747466004,-0.09348442359821776,-0.4114453207079319,-0.5214162558933157,-0.10393420352545106,-0.3274800946163187,-0.7230298578767926,0.02936228706180446,-0.43449049398526063,-0.9414363460951956,-0.0755097028194323,-0.35894966559167396,-0.6552985588950018,-0.08093563225624156,-0.2899306010976744,-0.5906983054224733,-0.050049567608028096,-0.16866177580744354,-0.7697973412146702,-0.015908545625658823,-0.2702125528520429,-1.0,-0.12008762044960458,-0.22236199512503912,-0.7147742475514569,-0.058674913695009503,-0.1616283503432319,-0.6214149575289105,0.016870317793427504,0.005488106849561166,-0.7943981670274265,-0.06953805459351477,-0.08292269246861204,-0.9864282498657253,-0.11197792707293237,-0.08526067580132268,-0.7924561848383365,-0.0522297309382957,-0.048998285364068,-0.7040501550220603,0.010037949398227107
A,0.0,0.0,0.0,-0.23979733876130208,-0.15498016816086846,-0.06168610893880528,-0.41297439174497247,-0.4784076201401459,-0.06693179518048203,-0.4859877441826077,-0.7752839399862871,-0.08441745483363976,-0.5280232995906461,-0.9889235015544933,-0.07651842333149378,-0.3477658576862525,-0.7104419094282303,0.09018280018977042,-0.38360096821815154,-0.942617168773044,0.00021643401582047088,-0.32762653228018507,-0.7208511309583857,-0.039556630365787736,-0.2997124098961726,-0.6253394422844161,-0.049424895619223363,-0.20862897109946016,-0.7626889367035122,0.0794232279779521,-0.24556666886077733,-0.9928014833928509,-0.009154933794185107,-0.2080240678401616,-0.724238701091455,-0.013780094955265587,-0.1876359936831989,-0.6775203665370649,0.013614182863151927,-0.0592801464746018,-0.770177411562267,0.039924775222220564,-0.07988042158997442,-1.0,-0.050993414758612354,-0.07227102201985851,-0.7525248277918365,0.0014579842635838532,-0.057827931128295616,-0.6749733956311589,0.06661530699912761,0.09644514912897846,-0.7508005551535091,-0.010231977776096933,0.08188458319014119,-0.9386288909180787,-0.04585768073256161,0.049273323598443435,-0.7828340426277788,0.0032118136798915996,0.044506260767380575,-0.7033438060162515,0.055583898926428836
A,0.0,0.0,0.0,-0.31297636277904795,-0.11590263590306195,-0.04203166793120026,-0.5186940065701962,-0.41058810179174876,-0.0472207545098601,-0.5699667721279152,-0.7359854864128687,-0.07156128266649771,-0.5950437582931418,-0.9770225434172476,-0.08029577379992825,-0.414110805182909,-0.724495426712489,0.0956788969631084,-0.47802499198082116,-0.9669470545750696,-0.016531004057385876,-0.41764006320300956,-0.733289280764663,-0.08559084501597168,-0.36084440826653413,-0.5604922608267108,-0.10885468255457742,-0.2653737797636483,-0.7714720426640798,0.06969100940530988,-0.3158825213855011,-1.0,-0.053653946787237256,-0.26053482494839253,-0.6939508558501907,-0.09150838834718979,-0.2159846506976788,-0.5203238560226594,-0.0769293829465852,-0.11044262999570262,-0.7844248087789423,0.01873676264841739,-0.16296610068811315,-0.9938160148429572,-0.10754536981971176,-0.1324086254000884,-0.6687130764437696,-0.06948159619897978,-0.09511463021856001,-0.4768652323226778,0.000345341902901894,0.06267495226386642,-0.7649745618947466,-0.03842156842066717,0.0006296540425878822,-0.9521413767916157,-0.10751682133819396,-0.015895794509105405,-0.7205173814421248,-0.0587605276142102,-0.00733176213415441,-0.5595883365293978,0.004946407449490545
A,0.0,0.0,0.0,-0.2907792498605751,-0.08389561843904132,-0.0544535765514704,-0.5053942888884724,-0.36601228148781473,-0.0651493324402215,-0.5828675925651589,-0.6918572812671132,-0.09102332827329533,-0.6370968895994337,-0.9242981539069921,-0.09618438146116315,-0.42622551346370247,-0.6764192571890764,0.08928940307283709,-0.4830030569686166,-0.9358737998218666,-0.033410608224261285,-0.4146766742229239,-0.7159058912402844,-0.09938634924236264,-0.3637945834797119,-0.5675500977435834,-0.12003105328156408,-0.2837008770216616,-0.736074386303523,0.06485977427069835,-0.34725909819526585,-0.9574274743416795,-0.05711995882552692,-0.2773444703978735,-0.6724258689645428,-0.08753921016953899,-0.23665798573844626,-0.5807603461164889,-0.07136082178073902,-0.13057833283045625,-0.7553764009762467,0.011973972031343373,-0.19176769054052936,-1.0,-0.11218570471317149,-0.145093642968559,-0.7063036599575406,-0.06253734453587657,-0.11234193384153143,-0.5902412419270089,0.008685536034998756,0.03423171971264052,-0.7452035704877464,-0.04926411370582303,-0.032032564667070176,-0.8792250492849774,-0.11363436106390437,-0.029878356150247174,-0.668729571248411,-0.061853150788926343,-0.011106428341225178,-0.583648412530931,-0.0006563957146232291
